,PBW_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-06-29,38.074127197265625,25.350000381469727,41.2599983215332,26.469999313354492,90.88,34.08,0.67,36.50004493713379,34.66568419456482,50.272101108556264,-195.5820235541699,-96.27809112165279,-95.58202355416991,-93.1024434464418,15.81582696047071,0.31611308464724885,0.7255445346449582,-8.242741973369084,76660.0,58.6773046811483
2009-06-30,37.886192321777344,26.350000381469727,42.779998779296875,26.690000534057617,85.78,66.72,0.0,36.64362148284912,34.53281931877136,49.38659874843766,-199.08790393906818,-94.27501867704287,-99.08790393906818,-95.18458441791131,15.209826551582887,0.25259483204357025,0.6309545941246806,-10.39999668002386,13480.0,52.11514224468432
2009-07-01,38.11171340942383,26.219999313354492,43.0099983215332,26.860000610351562,121.17,6.63,0.0,36.78193607330322,34.42119034767151,50.51306377717061,-206.88055445625835,-96.26795172695067,-106.88055445625835,-100.51682731649885,14.64711188618705,0.2179415319293696,0.5483519816856184,-9.866644316972195,101140.0,50.44609722329655
2009-07-02,37.961368560791016,27.950000762939453,45.66999816894531,28.06999969482422,99.06,6.05,0.0,36.90220958709717,34.306742391586305,49.718630502773685,-222.2188592647471,-101.69906142925605,-122.21885926474708,-109.39577255335792,14.663622265917104,0.17631452503238876,0.47394449035497244,-9.172675823865905,-38960.0,51.01053716422695
2009-07-06,36.15726089477539,29.0,49.369998931884766,29.25,173.43,11.38,0.0,36.98414577484131,34.20375807762146,41.32057637698349,-255.1431711598278,-112.66448716560042,-155.14317115982777,-128.08086162694443,15.483574456770459,-0.0022259297973477032,0.3787104063245084,-8.901491469470491,-165700.0,51.47647218351881
2009-07-07,34.691444396972656,30.850000381469727,50.25,31.200000762939453,117.66,85.81,0.0,37.03601413726807,34.069953718185424,35.99994484332534,-267.5341570818866,-128.59178778304099,-167.53415708188658,-148.29872916882053,16.676428798555722,-0.25901391639980886,0.25116554177964495,-11.335220799738089,-302900.0,50.977767021746224
2009-07-08,33.71420669555664,31.299999237060547,52.65999984741211,31.06999969482422,95.39,27.83,0.0,37.07134441375732,33.90796029090881,32.953433649409476,-220.06693579755384,-141.32033738072926,-120.06693579755384,-147.58142134642276,18.356025918209166,-0.5352056437209711,0.09389130467952171,-11.538465003202457,-524080.0,48.627163911749015
2009-07-09,33.6014404296875,29.780000686645508,51.5099983215332,30.0,69.94,88.64,0.0,37.107426452636716,33.75479928016662,32.61049064733192,-221.3705918204085,-144.06801513839767,-121.37059182040849,-136.32389489994966,19.915651815030223,-0.7544915636149057,-0.07578526897936376,-12.438807975485611,-646500.0,40.765448693162796
2009-07-10,33.52627182006836,29.020000457763672,50.880001068115234,29.329999923706055,102.52,14.95,0.0,37.12095703125,33.61141066551208,32.368672902378634,-228.0707612347565,-135.6915819546485,-128.0707612347565,-123.16942961757297,19.278309991768904,-0.9236949333747546,-0.24536720185844194,-13.816454292927983,-790320.0,40.53426857250383
2009-07-13,34.3907470703125,26.309999465942383,49.58000183105469,26.610000610351562,183.76,20.53,0.0,37.13373611450195,33.47140456199646,38.05747071616701,-214.74696696705078,-126.96314373053157,-114.74696696705078,-121.39610667407196,18.72532283371117,-0.9767742494534559,-0.3916486113774447,-5.864162177147492,-671000.0,40.71202181576197
2009-07-14,34.315574645996094,25.020000457763672,48.0,26.030000686645508,197.32,16.71,0.0,37.13824645996094,33.32707619667053,37.760033276892244,-215.6637037636637,-121.35311564893402,-115.6637037636637,-119.49381065515702,18.057674923989044,-1.0132259383557027,-0.5159640767730963,-6.262835216144314,-858940.0,48.51479421878809
2009-07-15,36.082096099853516,25.889999389648438,46.790000915527344,25.280000686645508,109.66,27.42,0.4,37.12471580505371,33.201728429794315,48.03759311308949,-194.1207612088123,-116.3556871030238,-94.12076120881231,-108.1771439798423,17.13361463583007,-0.8893191292009632,-0.5906350872586696,-4.191594021425738,-714480.0,50.098799239364965
2009-07-16,37.172088623046875,25.420000076293945,45.630001068115234,24.799999237060547,71.33,12.08,0.35,37.138246841430664,33.10795268058777,53.17546660511473,-180.828170699313,-108.18061106408749,-80.82817069931302,-96.87087855726304,16.7651465013107,-0.695155483378251,-0.6115391664825859,-3.0391630858582097,-617740.0,50.76824660139806
2009-07-17,36.382774353027344,24.34000015258789,44.790000915527344,24.280000686645508,88.11,14.92,0.44,37.12847434997558,33.01060622215271,49.36869424836278,-190.45395358444273,-97.83855034487605,-90.45395358444273,-88.46762849752271,16.42299751925699,-0.5980762099474504,-0.6088465751755587,-5.560989462665034,-725140.0,45.477734813415246
2009-07-20,37.096885681152344,24.399999618530273,44.650001525878906,24.790000915527344,151.49,32.25,1.26,37.15854263305664,32.917581987380984,52.669978716463504,-188.78296997706636,-90.67562393613109,-88.78296997706634,-86.68836475360739,16.27611311475169,-0.45823512099941865,-0.5787242843403307,-2.5666813346767015,-641120.0,41.97845415868781
2009-07-21,37.435176849365234,23.8700008392334,44.2400016784668,24.68000030517578,83.27,54.65,0.0,37.179590682983395,32.84917635917664,54.19367596250398,-184.86429850260419,-87.729911313056,-84.86429850260417,-88.03374068803777,16.355535949948028,-0.3164647715559141,-0.5262723817834474,-1.1904481415855095,-552840.0,46.520314607611716
2009-07-22,37.510337829589844,23.469999313354492,44.36000061035156,24.989999771118164,108.88,6.65,0.0,37.20815551757813,32.789603300094605,54.543815713766506,-184.4249766893859,-86.9153957215547,-84.42497668938587,-86.02408172301881,16.429285725487482,-0.1957889520987237,-0.46017569584650264,-1.5779284792934112,-512360.0,44.94934650174493
2009-07-23,38.78824996948242,23.43000030517578,42.34000015258789,25.8700008392334,140.0,11.86,0.35,37.27580940246582,32.755212488174436,60.124814613714726,-162.2577607772316,-83.74672257804353,-62.25776077723161,-77.1823453230739,17.273702688289482,0.0029305523916391962,-0.3675544461988743,2.1782181202641526,-402680.0,52.60838239914369
2009-07-24,39.990997314453125,23.09000015258789,40.720001220703125,24.670000076293945,104.47,7.41,0.43,37.42239288330078,32.75107817649841,64.53789253483984,-139.67709390073762,-75.10879027840373,-39.677093900737624,-62.11994378911839,18.60136773860059,0.25453473240435187,-0.24313661047822907,10.602950347468653,-319260.0,59.2434193302852
2009-07-27,40.29167938232422,24.280000686645508,42.459999084472656,25.649999618530273,68.67,21.21,0.0,37.55469413757324,32.75991080284118,65.56394617028842,-134.395290120795,-61.58189023726016,-34.395290120794996,-45.44338159958809,20.028185336178392,0.47274586765868065,-0.09996011485084712,16.14298592260479,-262420.0,65.82651824620412
